rest_id,rest_name,locality,cuisines,cost_for_two,ratings,votes
17112744,Diane's,Cheviot/Westwood,['American'],Moderately_priced,3.5,12
17113661,Lookout Joe,Downtown,"['Coffee and Tea', 'Sandwich']",Inexpensive,3.4,16
18303396,Frida 602,Covington,['Mexican'],Pricey,3.2,6
17115025,Tom's Papa Dino's,Walton,"['Pizza', 'Sandwich']",Inexpensive,4.0,12
17116539,Bambooz Bar & Grill,Covington,"['American', 'Burger']",Moderately_priced,2.7,9
17117931,Cuban Pete Sandwiches,Downtown,"['Caribbean', 'Cuban', 'Sandwich']",Inexpensive,3.3,8
18492279,Taqueria San Marcos,Norwood,['Mexican'],Moderately_priced,3.0,5
17114705,Billie's Skyline Tavern,Cold Spring/Alexandria,"['Burger', 'Bar Food', 'Sandwich']",Inexpensive,3.6,10
17114963,Take Five Bar and Grill,Cheviot/Westwood,['American'],Pricey,2.7,8
17115419,Buffalo Wings & Rings,Batavia,"['American', 'Bar Food']",Moderately_priced,2.4,10
17116045,Golden Turtle Chocolate Factory,Lebanon,['Desserts'],Inexpensive,3.4,6
17116115,Four Seasons,East End/Mount Washington,"['Bar Food', 'Seafood', 'Steak']",Pricey,2.6,10
17116876,Oak Tavern,Oakley/Pleasant Ridge,"['Burger', 'Bar Food', 'Sandwich']",Inexpensive,3.4,10
17117248,NY Pita Palace,Walnut Hills/Mount Adams,"['American', 'International', 'Mediterranean']",Inexpensive,3.5,7
17117953,Ampai Thai Express,Colerain Township,[],Inexpensive,3.4,7
17116819,Frank's Diner,Colerain Township,['Fast Food'],Inexpensive,3.5,10
17116027,Mansion Hill Tavern,Campbell County,['Bar Food'],Inexpensive,3.5,9
17116784,J. Gumbos,College Hill/Mt Healthy,"['Fast Food', 'Sandwich', 'Cajun']",Inexpensive,3.5,13
17116885,Topper's Pizza,Cold Spring/Alexandria,"['Pizza', 'Sandwich']",Inexpensive,3.4,11
16959779,Chipotle Mexican Grill,Independence,"['Fast Food', 'Mexican']",Inexpensive,3.4,14
17113498,Kidd Coffee,Mason,"['Coffee and Tea', 'Sandwich']",Inexpensive,3.5,12
18424468,Lalo,Downtown,"['Asian', 'Mexican']",Moderately_priced,3.1,5
17112917,The Farm,Delhi,['American'],Moderately_priced,3.5,13
17838481,Palermo's Italian Restaurant,West Chester,"['Italian', 'Pizza']",Pricey,3.1,8
18159951,Truva Cafe Mediterranean,Blue Ash,"['Mediterranean', 'Turkish']",Moderately_priced,3.0,5
17115783,Kofenya,Oxford,"['Coffee and Tea', 'Sandwich', 'Beverages']",Inexpensive,3.7,13
17869845,Casa Figueroa,Oakley/Pleasant Ridge,['Latin American'],Moderately_priced,3.2,6
17115263,Win Place or Show Sports Bar & Grill,West Chester,['American'],Inexpensive,3.6,13
17116160,Campbell's Barn,Amelia,"['American', 'Bar Food', 'Southern']",Inexpensive,3.6,10
17116022,Frank's Old Town Cafe,Covington,['American'],Inexpensive,3.7,8
17117218,Bucketheads,Cheviot/Westwood,['American'],Inexpensive,3.3,7
17116798,Servatii Pastry Shop & Deli,Fairfield,"['Desserts', 'Sandwich']",Inexpensive,3.5,14
17113289,Hook Fish & Chicken,Bond Hill,['Seafood'],Inexpensive,3.7,10
17114446,Regina Bakery,Cheviot/Westwood,[],Inexpensive,3.6,11
17116466,Kelly's Public House,Covington,"['Breakfast', 'Burger', 'Bar Food']",Inexpensive,3.3,9
17116642,Kitty's Coffee,Downtown,['Coffee and Tea'],Inexpensive,3.3,11
17113528,La Petite Pierre,Deer Park/Madeira,"['French', 'Healthy Food']",Pricey,3.3,11
17116870,Marco's Pizza,Monfort Heights/White Oak,['Pizza'],Inexpensive,3.2,11
