,rest_id,rest_name,locality,cuisines,cost_for_two,ratings,votes
233,17113909,Mitchell's Fish Market,West Chester,"['Seafood', 'Steak']",$$$,3.9,96
234,17112116,Behle Street by Sheli,Crescent Springs/Fort Wright,"['Diner', 'Bar Food', 'Sandwich']",$$$,3.8,84
235,17116863,Keystone Bar & Grill,Hyde Park/Mount Lookout,"['Burger', 'Bar Food', 'Sandwich']",$,3.7,92
236,17112408,Carl's Deli,Hyde Park/Mount Lookout,"['Sandwich', 'Healthy Food']",$,4.4,97
237,17116121,Peewee's Place,Crescent Springs/Fort Wright,"['Burger', 'Bar Food', 'Sandwich']",$,4.2,80
238,17113052,Fuji Steak House,Florence,"['Japanese', 'Sushi']",$$$,4.1,84
239,17114079,The Palace Restaurant,Downtown,"['American', 'Breakfast']",$$$,3.8,76
240,17113859,Mecklenburg Gardens,Clifton/Avondale,"['Burger', 'German', 'Bar Food']",$$$,3.9,103
241,17116519,Sawasdee Thai Cuisine,Fairfield,['Thai'],$,4.0,78
242,17115059,Twin Dragon Buffet and Grill,West Chester,['Chinese'],$$,4.3,100
243,17112121,Bellevue Bistro,Campbell County,"['Breakfast', 'Coffee and Tea', 'Sandwich']",$,4.1,84
244,17115303,Amma's Kitchen,Golf Manor,"['Indian', 'Vegetarian']",$$,4.1,91
245,17116202,El Toro,Hyde Park/Mount Lookout,"['Mexican', 'Tex-Mex']",$$$,4.0,85
246,17113902,Mirage Mediterranean,Symmes,"['Greek', 'Mediterranean', 'Middle Eastern']",$$,3.9,93
247,17112452,Cheddar's Scratch Kitchen,Florence,['American'],$$,4.1,100
248,17116003,City View Tavern,Walnut Hills/Mount Adams,"['Burger', 'Bar Food', 'Sandwich']",$$$,3.9,90
249,17117152,Ruth's Chris Steak House,Downtown,"['American', 'Seafood', 'Steak']",$$$$,3.7,68
250,17113348,J & J Restaurant,Cheviot/Westwood,"['Breakfast', 'Sandwich', 'Chili']",$,4.5,74
251,17114730,Soho Japanese Bistro,West Chester,"['Japanese', 'Seafood', 'Sushi']",$$$,3.9,85
252,17115987,Loving Hut,Oakley/Pleasant Ridge,"['Sandwich', 'Healthy Food']",$,4.1,76
253,17113910,Miyoshi Japanese,Florence,"['Japanese', 'Seafood', 'Sushi']",$$,4.2,96
254,17116215,Brothers Bar and Grill,Campbell County,"['Burger', 'Bar Food', 'Sandwich']",$$,2.2,74
255,17113504,King Wok,Clifton/Avondale,"['Asian', 'Chinese', 'Dim Sum']",$,4.2,95
256,17113868,The Melting Pot of Cincinnati,Symmes,['French'],$$$,3.8,92
257,17115008,Through the Garden,Blue Ash,"['American', 'Sandwich', 'Seafood']",$$,3.7,78
258,17115299,Zola Pub & Grill,Covington,"['Burger', 'Bar Food', 'Sandwich']",$,4.0,84
259,17112734,deSha's American Tavern,Symmes,"['Burger', 'Bar Food', 'Steak']",$$$,3.7,84
260,17114053,Oriental Wok,Crescent Springs/Fort Wright,['Chinese'],$$,4.2,98
261,17116389,House of Bangkok Thai Cuisine,Fairfield,"['Thai', 'Vegetarian']",$,4.1,73
262,17114431,Red Robin Gourmet Burgers,West Chester,"['American', 'Burger', 'Sandwich']",$$,4.0,89
263,17112757,Dixie Chili,Campbell County,"['Diner', 'Chili']",$,4.2,82
264,17112038,Asiana Hyde Park Thai & Sushi,Hyde Park/Mount Lookout,"['Asian', 'Sushi', 'Thai']",$$,4.4,80
265,17116412,Alabama Que,Clifton/Avondale,"['BBQ', 'Southern', 'Vegetarian']",$,3.9,62
266,17117676,Stone Bowl,Oakley/Pleasant Ridge,"['Korean', 'Sushi', 'Ramen']",$$,3.8,68
267,17116509,Curries - The Flavor of India,Sharonville,"['Indian', 'Vegetarian']",$$,3.8,64
268,17114373,Quarter Bistro,Mariemont,"['French', 'Steak']",$$$,3.9,94
269,17116579,The Indian Bistro,Withamsville,['Indian'],$,4.1,79
270,17112138,Big Art's BBQ Grille,Colerain Township,"['BBQ', 'Sandwich']",$$,4.4,86
271,17112902,Essencha Tea House & Fine Teas,Oakley/Pleasant Ridge,"['Sandwich', 'Vegetarian', 'Tea']",$,4.0,73
